time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/entropy_loss,train/loss,train/clip_range,train/clip_fraction,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/value_loss
63488,52,1206,31,460.47,460.47,0.0023942913,-0.46192426020279526,-0.0005246626096777618,0.2,0.029931640625,300,0.0003,-0.0009922632496454753,-0.07334339618682861,0.0016119317191055416
65536,55,1190,32,472.3,472.3,0.003319404,-0.4614735499024391,0.0025232487823814154,0.2,0.0501953125,310,0.0003,-0.0057143107529554985,0.05760014057159424,0.001152523893574653
67584,57,1174,33,479.38,479.38,0.0033099127,-0.45797943165525795,-0.015996525064110756,0.2,0.057568359375,320,0.0003,-0.0025533973035635426,-0.02961266040802002,0.0007961062399658658
69632,60,1158,34,487.44,487.44,0.005047568,-0.4568369715474546,-0.0008202461176551878,0.2,0.022021484375,330,0.0003,-0.00026230914372717964,-0.06582129001617432,0.0005394980920982561
71680,62,1142,35,493.65,493.65,0.0023678318,-0.42428353866562246,-0.0025519556365907192,0.2,0.024169921875,340,0.0003,-0.0018998185085365548,0.012458205223083496,0.00039817970657054504
73728,65,1128,36,495.11,495.11,0.00559142,-0.42917966227978466,-0.010940944775938988,0.2,0.0705078125,350,0.0003,-0.0035852832457749172,0.03612256050109863,0.0002702644773023621
75776,68,1113,37,497.49,497.49,0.012511204,-0.4396446006372571,0.013875245116651058,0.2,0.148828125,360,0.0003,-0.004298834744258784,0.009997189044952393,0.00018992375235029612
77824,70,1099,38,500.0,500.0,0.0064346027,-0.4230657362379134,-0.013342116959393024,0.2,0.036962890625,370,0.0003,-0.0018396017447230406,0.019775331020355225,0.00013127951780802504
79872,73,1085,39,500.0,500.0,0.0048522637,-0.40480156810954215,0.0005380522925406694,0.2,0.028125,380,0.0003,-0.0010250991879729554,-0.08185207843780518,9.320647616846145e-05
81920,76,1071,40,500.0,500.0,0.008884411,-0.3972759936004877,-0.018102480098605156,0.2,0.091064453125,390,0.0003,-0.00470116234573652,-0.132301926612854,7.122895208055979e-05
83968,79,1054,41,500.0,500.0,0.0025225724,-0.3956329542212188,0.002909488044679165,0.2,0.043603515625,400,0.0003,-0.0024566012842115017,-0.04151296615600586,5.2222465177464984e-05
86016,82,1042,42,500.0,500.0,0.0043747523,-0.36938205286860465,0.01817375421524048,0.2,0.034033203125,410,0.0003,-0.002624567211023532,-0.14633166790008545,3.55688280620825e-05
88064,85,1029,43,500.0,500.0,0.0049660173,-0.36650727968662977,-0.003183921566233039,0.2,0.051953125,420,0.0003,-0.0020160950181889346,-0.20147192478179932,2.3840224912419217e-05
90112,88,1017,44,500.0,500.0,0.0025961106,-0.3464754638262093,0.0030252132564783096,0.2,0.02060546875,430,0.0003,-0.0013390690932283179,-0.24621880054473877,2.2104721517735014e-05
92160,91,1005,45,500.0,500.0,0.0019238013,-0.3409949562512338,-0.008446047082543373,0.2,0.02568359375,440,0.0003,-0.0005213174415985122,-0.22708547115325928,1.0258530556939149e-05
94208,94,994,46,500.0,500.0,0.0040262025,-0.3393338988535106,-0.0020820782519876957,0.2,0.02744140625,450,0.0003,-0.0018881456708186306,-0.23130762577056885,8.53050890441409e-06
96256,97,983,47,500.0,500.0,0.0031105422,-0.3154216084163636,0.00044329388765618205,0.2,0.02734375,460,0.0003,-0.0015688870204030535,-0.560707688331604,5.938187049991938e-06
98304,100,973,48,500.0,500.0,0.0014387127,-0.3208758900873363,0.001526010106317699,0.2,0.0314453125,470,0.0003,-3.5680251312442127e-05,-0.5452430248260498,6.15558850540765e-06
100352,104,962,49,500.0,500.0,0.00082490715,-0.31611030860804024,-0.004848582204431295,0.2,0.028076171875,480,0.0003,-0.00022609639054280706,-0.6489599943161011,4.434074620007778e-06
102400,107,950,50,500.0,500.0,0.004324102,-0.2910627521574497,-0.013525380752980709,0.2,0.02236328125,490,0.0003,-0.0015715673187514767,-0.8038852214813232,4.859548104718669e-06
104448,111,937,51,500.0,500.0,0.005122772,-0.28937425022013485,-0.0038612824864685535,0.2,0.03271484375,500,0.0003,-0.000333408938604407,-0.9707667827606201,3.1407477564471265e-06
106496,115,925,52,500.0,500.0,0.002875493,-0.29266753513365984,-0.015241706743836403,0.2,0.0142578125,510,0.0003,-0.0010177905904129147,-1.1511187553405762,6.4226418459156775e-06
108544,118,913,53,500.0,500.0,0.0039802487,-0.28247814839705826,-0.002636340446770191,0.2,0.036376953125,520,0.0003,-0.0015721035226306413,-1.405060052871704,1.5509800135760087e-06
110592,122,902,54,500.0,500.0,0.0033522872,-0.28323071892373264,0.0005051552434451878,0.2,0.037890625,530,0.0003,0.00023052361648296938,-1.9588899612426758,3.702473281919083e-06
112640,126,891,55,500.0,500.0,0.0016412863,-0.26863713120110333,0.0008929474279284477,0.2,0.011279296875,540,0.0003,-0.0007498944207327441,-3.3494668006896973,1.464681332663531e-06
114688,130,880,56,500.0,500.0,0.002517159,-0.2627803192473948,-0.0023703572805970907,0.2,0.018408203125,550,0.0003,-0.0008240752213168889,-2.617108106613159,1.7425749206267937e-06
