rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/approx_kl,train/loss,train/learning_rate,train/clip_fraction,train/n_updates,train/explained_variance,train/clip_range,train/value_loss,train/entropy_loss,train/policy_gradient_loss
500.0,903,108544,120,500.0,53,0.0039802487,-0.002636340446770191,0.0003,0.036376953125,520,-1.405060052871704,0.2,1.5509800135760087e-06,-0.28247814839705826,-0.0015721035226306413
500.0,893,110592,123,500.0,54,0.0033522872,0.0005051552434451878,0.0003,0.037890625,530,-1.9588899612426758,0.2,3.702473281919083e-06,-0.28323071892373264,0.00023052361648296938
500.0,882,112640,127,500.0,55,0.0016412863,0.0008929474279284477,0.0003,0.011279296875,540,-3.3494668006896973,0.2,1.464681332663531e-06,-0.26863713120110333,-0.0007498944207327441
500.0,872,114688,131,500.0,56,0.002517159,-0.0023703572805970907,0.0003,0.018408203125,550,-2.617108106613159,0.2,1.7425749206267937e-06,-0.2627803192473948,-0.0008240752213168889
500.0,861,116736,135,500.0,57,0.003523226,-0.008754328824579716,0.0003,0.045849609375,560,-3.995400905609131,0.2,2.781602029244823e-06,-0.2775299326982349,-0.0017010615178151057
500.0,852,118784,139,500.0,58,0.0036534055,-0.010490769520401955,0.0003,0.027392578125,570,-4.764060974121094,0.2,1.535452531413739e-05,-0.27163035566918553,-0.001890613848809153
500.0,842,120832,143,500.0,59,0.0013508579,0.00277087464928627,0.0003,0.006201171875,580,-2.2041029930114746,0.2,1.2210200310391884e-06,-0.25892397509887816,-8.413621253566816e-05
500.0,833,122880,147,500.0,60,0.0006355719,0.001792239723727107,0.0003,0.010009765625,590,-2.5456113815307617,0.2,1.2837171993851371e-06,-0.24032956627197563,-0.00036629928872571326
500.0,824,124928,151,500.0,61,0.0018739561,-0.0025105876848101616,0.0003,0.023095703125,600,-2.5992043018341064,0.2,1.5321713459570673e-05,-0.2420954022090882,-0.001030470067053102
500.0,814,126976,155,500.0,62,0.0032237428,-0.011666843667626381,0.0003,0.02666015625,610,-1.8904428482055664,0.2,1.2563730194870003e-06,-0.2526464156806469,-0.0015388564715976827
500.0,805,129024,160,500.0,63,0.0030263555,-0.0007607027655467391,0.0003,0.0203125,620,-4.1594953536987305,0.2,8.800234610362167e-07,-0.25437294649891556,0.0005051616826676764
500.0,797,131072,164,500.0,64,0.001704232,0.0050451019778847694,0.0003,0.0169921875,630,-4.9715094566345215,0.2,2.111665363599968e-05,-0.2592425528448075,-0.0008036712832108605
500.0,787,133120,168,500.0,65,0.004079121,-0.0016280215932056308,0.0003,0.03486328125,640,-2.7552123069763184,0.2,6.768264910306244e-07,-0.24503897940739988,-0.0026642705721314996
500.0,778,135168,173,500.0,66,0.005445117,-0.01109947171062231,0.0003,0.042041015625,650,-5.978084087371826,0.2,4.487363526095578e-07,-0.26240841173566876,-0.0013765560957835986
500.0,770,137216,178,500.0,67,0.0069528967,-0.0071706450544297695,0.0003,0.0732421875,660,-2.7508628368377686,0.2,1.5454792730906774e-06,-0.2574363050982356,-0.004451123152102809
