rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/explained_variance,train/loss,train/value_loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/clip_range
472.3,1124,65536,58,32,472.3,-0.0057143107529554985,-0.4614735499024391,310,0.05760014057159424,0.0025232487823814154,0.001152523893574653,0.0003,0.003319404,0.0501953125,0.2
479.38,1110,67584,60,33,479.38,-0.0025533973035635426,-0.45797943165525795,320,-0.02961266040802002,-0.015996525064110756,0.0007961062399658658,0.0003,0.0033099127,0.057568359375,0.2
487.44,1095,69632,63,34,487.44,-0.00026230914372717964,-0.4568369715474546,330,-0.06582129001617432,-0.0008202461176551878,0.0005394980920982561,0.0003,0.005047568,0.022021484375,0.2
493.65,1081,71680,66,35,493.65,-0.0018998185085365548,-0.42428353866562246,340,0.012458205223083496,-0.0025519556365907192,0.00039817970657054504,0.0003,0.0023678318,0.024169921875,0.2
495.11,1069,73728,68,36,495.11,-0.0035852832457749172,-0.42917966227978466,350,0.03612256050109863,-0.010940944775938988,0.0002702644773023621,0.0003,0.00559142,0.0705078125,0.2
497.49,1056,75776,71,37,497.49,-0.004298834744258784,-0.4396446006372571,360,0.009997189044952393,0.013875245116651058,0.00018992375235029612,0.0003,0.012511204,0.148828125,0.2
500.0,1044,77824,74,38,500.0,-0.0018396017447230406,-0.4230657362379134,370,0.019775331020355225,-0.013342116959393024,0.00013127951780802504,0.0003,0.0064346027,0.036962890625,0.2
500.0,1032,79872,77,39,500.0,-0.0010250991879729554,-0.40480156810954215,380,-0.08185207843780518,0.0005380522925406694,9.320647616846145e-05,0.0003,0.0048522637,0.028125,0.2
500.0,1020,81920,80,40,500.0,-0.00470116234573652,-0.3972759936004877,390,-0.132301926612854,-0.018102480098605156,7.122895208055979e-05,0.0003,0.008884411,0.091064453125,0.2
500.0,1009,83968,83,41,500.0,-0.0024566012842115017,-0.3956329542212188,400,-0.04151296615600586,0.002909488044679165,5.2222465177464984e-05,0.0003,0.0025225724,0.043603515625,0.2
500.0,998,86016,86,42,500.0,-0.002624567211023532,-0.36938205286860465,410,-0.14633166790008545,0.01817375421524048,3.55688280620825e-05,0.0003,0.0043747523,0.034033203125,0.2
500.0,987,88064,89,43,500.0,-0.0020160950181889346,-0.36650727968662977,420,-0.20147192478179932,-0.003183921566233039,2.3840224912419217e-05,0.0003,0.0049660173,0.051953125,0.2
500.0,976,90112,92,44,500.0,-0.0013390690932283179,-0.3464754638262093,430,-0.24621880054473877,0.0030252132564783096,2.2104721517735014e-05,0.0003,0.0025961106,0.02060546875,0.2
500.0,965,92160,95,45,500.0,-0.0005213174415985122,-0.3409949562512338,440,-0.22708547115325928,-0.008446047082543373,1.0258530556939149e-05,0.0003,0.0019238013,0.02568359375,0.2
500.0,955,94208,98,46,500.0,-0.0018881456708186306,-0.3393338988535106,450,-0.23130762577056885,-0.0020820782519876957,8.53050890441409e-06,0.0003,0.0040262025,0.02744140625,0.2
500.0,945,96256,101,47,500.0,-0.0015688870204030535,-0.3154216084163636,460,-0.560707688331604,0.00044329388765618205,5.938187049991938e-06,0.0003,0.0031105422,0.02734375,0.2
500.0,935,98304,105,48,500.0,-3.5680251312442127e-05,-0.3208758900873363,470,-0.5452430248260498,0.001526010106317699,6.15558850540765e-06,0.0003,0.0014387127,0.0314453125,0.2
500.0,926,100352,108,49,500.0,-0.00022609639054280706,-0.31611030860804024,480,-0.6489599943161011,-0.004848582204431295,4.434074620007778e-06,0.0003,0.00082490715,0.028076171875,0.2
500.0,914,102400,111,50,500.0,-0.0015715673187514767,-0.2910627521574497,490,-0.8038852214813232,-0.013525380752980709,4.859548104718669e-06,0.0003,0.004324102,0.02236328125,0.2
500.0,903,104448,115,51,500.0,-0.000333408938604407,-0.28937425022013485,500,-0.9707667827606201,-0.0038612824864685535,3.1407477564471265e-06,0.0003,0.005122772,0.03271484375,0.2
500.0,891,106496,119,52,500.0,-0.0010177905904129147,-0.29266753513365984,510,-1.1511187553405762,-0.015241706743836403,6.4226418459156775e-06,0.0003,0.002875493,0.0142578125,0.2
500.0,881,108544,123,53,500.0,-0.0015721035226306413,-0.28247814839705826,520,-1.405060052871704,-0.002636340446770191,1.5509800135760087e-06,0.0003,0.0039802487,0.036376953125,0.2
