time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/value_loss,train/n_updates,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/approx_kl,train/loss
147,500.0,60,830,122880,500.0,1.2837171993851371e-06,590,-0.24032956627197563,-2.5456113815307617,-0.00036629928872571326,0.010009765625,0.2,0.0003,0.0006355719,0.001792239723727107
152,500.0,61,820,124928,500.0,1.5321713459570673e-05,600,-0.2420954022090882,-2.5992043018341064,-0.001030470067053102,0.023095703125,0.2,0.0003,0.0018739561,-0.0025105876848101616
156,500.0,62,811,126976,500.0,1.2563730194870003e-06,610,-0.2526464156806469,-1.8904428482055664,-0.0015388564715976827,0.02666015625,0.2,0.0003,0.0032237428,-0.011666843667626381
160,500.0,63,801,129024,500.0,8.800234610362167e-07,620,-0.25437294649891556,-4.1594953536987305,0.0005051616826676764,0.0203125,0.2,0.0003,0.0030263555,-0.0007607027655467391
165,500.0,64,792,131072,500.0,2.111665363599968e-05,630,-0.2592425528448075,-4.9715094566345215,-0.0008036712832108605,0.0169921875,0.2,0.0003,0.001704232,0.0050451019778847694
169,500.0,65,783,133120,500.0,6.768264910306244e-07,640,-0.24503897940739988,-2.7552123069763184,-0.0026642705721314996,0.03486328125,0.2,0.0003,0.004079121,-0.0016280215932056308
174,500.0,66,775,135168,500.0,4.487363526095578e-07,650,-0.26240841173566876,-5.978084087371826,-0.0013765560957835986,0.042041015625,0.2,0.0003,0.005445117,-0.01109947171062231
179,500.0,67,766,137216,500.0,1.5454792730906774e-06,660,-0.2574363050982356,-2.7508628368377686,-0.004451123152102809,0.0732421875,0.2,0.0003,0.0069528967,-0.0071706450544297695
183,500.0,68,758,139264,500.0,5.286572559271008e-07,670,-0.2565259973984212,-5.697333335876465,-0.000650508906255709,0.027294921875,0.2,0.0003,0.0034143634,-0.008236592635512352
188,500.0,69,750,141312,500.0,6.892665737723292e-07,680,-0.2312038261909038,-2.3388943672180176,-0.002182094544696156,0.018701171875,0.2,0.0003,0.002907765,-0.012615923769772053
193,500.0,70,742,143360,500.0,6.364086425492133e-06,690,-0.24259415632113815,-2.3539767265319824,-0.0009137586952419951,0.0123046875,0.2,0.0003,0.0022898559,-0.0027207634411752224
197,500.0,71,734,145408,500.0,4.3224358705629127e-07,700,-0.2710283427499235,-4.524051189422607,-0.0013362697995034979,0.04482421875,0.2,0.0003,0.003073962,-0.003962825518101454
202,500.0,72,727,147456,500.0,1.3401611300878358e-05,710,-0.26510254591703414,-4.997756481170654,-0.0004215786786517128,0.01796875,0.2,0.0003,0.0016381976,-0.002434978960081935
207,500.0,73,720,149504,500.0,1.0345663119437631e-05,720,-0.27158754603005947,-5.402286529541016,-0.0003637059813627275,0.022412109375,0.2,0.0003,0.0027659177,0.014825954101979733
212,500.0,74,712,151552,500.0,3.60713499958365e-07,730,-0.24013368715532124,-7.127089500427246,-0.0005228471214650199,0.028759765625,0.2,0.0003,0.003174299,-0.0067596472799777985
217,500.0,75,705,153600,500.0,3.8605774648203807e-07,740,-0.28326195674017074,-4.675753593444824,-0.0025491990309092216,0.062353515625,0.2,0.0003,0.006643519,0.018688179552555084
222,500.0,76,699,155648,500.0,5.307000634502401e-07,750,-0.2580148518551141,-6.213968276977539,-0.0008632973447674885,0.016357421875,0.2,0.0003,0.0020818887,-0.0030532144010066986
227,500.0,77,692,157696,500.0,6.70626751286818e-06,760,-0.25490785990841686,-8.533584594726562,-0.0008849121615639888,0.035400390625,0.2,0.0003,0.0038313072,-0.003862096229568124
232,500.0,78,686,159744,500.0,1.0499860556478779e-05,770,-0.25501757953315973,-2.140049695968628,-0.0008147762375301682,0.021240234375,0.2,0.0003,0.0015823036,-0.0023636973928660154
237,500.0,79,679,161792,500.0,6.476511657638185e-07,780,-0.27252465593628583,-5.763467311859131,-0.000368069218529854,0.020458984375,0.2,0.0003,0.003932068,0.0018985125934705138
243,500.0,80,673,163840,500.0,5.082192217287229e-07,790,-0.2554747400805354,-2.784287452697754,-0.0011941154400119558,0.031201171875,0.2,0.0003,0.0028068023,-0.015403426252305508
